"scope","document_id","filename","source_url","bytes","sha256"
"technical-release","WAP-231_100-EFI","WAP-231_100-EFI-20011018-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-231_100-EFI-20011018-a.pdf",91936,"57f6864a9062ab83f46876c298e07f7b22feb438e48c7729fe3e2bbcaf22eaf3"
"associated-dtd","channel-1.2-dtd","channel12.dtd","https://www.openmobilealliance.org/tech/dtd/channel12.dtd",892,"00baa80d3be6a4558b3115ebb1d6b3a58eea9cfb6bba0fd1f4ad73b993cfc31d"
"associated-dtd","wml13-dtd","wml13.dtd","https://www.openmobilealliance.org/tech/dtd/wml13.dtd",9015,"764fe546974f15b40c1e49a0f3e954219e78f518c53a6d7d3956cab62be72dfb"
"associated-dtd","pap-1.0-dtd","pap_1.0.dtd","https://www.openmobilealliance.org/tech/dtd/pap_1.0.dtd",8080,"bfcec60e17f07ed87b772004dfe784cda2bd88aaf8f211c4eafc68b1cb7a319a"
"associated-dtd","service-indication-dtd","si.dtd","https://www.openmobilealliance.org/tech/dtd/si.dtd",1676,"f71e1c657b501a49ba98dde685d29fe2c88107031f01e7d14781a36a669cf50b"
"associated-dtd","service-loading-dtd","sl.dtd","https://www.openmobilealliance.org/tech/dtd/sl.dtd",1025,"8393b66f4f9c30163613b553b765504d3f92dadd1eaca9775265b33d15c4f972"
"associated-dtd","wta-wml-1.2-dtd","wta-wml12.dtd","https://www.openmobilealliance.org/tech/dtd/wta-wml12.dtd",539,"dccd67a26526098adfae881a7826a21be34d69bd66cccd005a265e71a292a84c"
"governing-document","WAP-215-ClassConform-20001213-a","WAP-215-ClassConform-20001213-a.pdf","https://www.wapforum.org/tech/documents/WAP-215-ClassConform-20001213-a.pdf",47936,"af578cd57a7e043b693e0b0dd5ef59b27f8e778e481831ec8737337ee8e44f9d"
"governing-document","WAP-221-CREQ-20010425-a","WAP-221-CREQ-20010425-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-221-CREQ-20010425-a.pdf",38934,"d8713c9148db06d03365c361350eac8282f6b2f5ea6314ac80d728d57b8ac905"
"governing-document","WAP-273-CertPolicy-20010831-a","WAP-273-CertPolicy-20010831-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-273-CertPolicy-20010831-a.pdf",110965,"61b220887a860b57268dd122075dcaec5435e8fe5d0816a9c4e815b54d342e92"
